user_id,amount,merchant_category,hour,day,location,is_fraud,timestamp
USER_001,129.97,retail,9,3,normal_area,False,2025-08-27T02:20:32.333240
USER_001,283.28,gas,19,3,normal_area,False,2025-08-27T02:20:32.333281
USER_001,191.03,gas,14,2,normal_area,False,2025-08-27T02:20:32.333289
USER_001,160.03,retail,15,4,normal_area,False,2025-08-27T02:20:32.333294
USER_001,195.42,grocery,12,3,normal_area,False,2025-08-27T02:20:32.333299
USER_001,260.25,restaurant,10,4,normal_area,False,2025-08-27T02:20:32.333304
USER_001,245.41,retail,9,1,normal_area,False,2025-08-27T02:20:32.333308
USER_001,236.25,restaurant,16,0,normal_area,False,2025-08-27T02:20:32.333312
USER_001,119.13,gas,20,3,normal_area,False,2025-08-27T02:20:32.333317
USER_001,156.03,restaurant,15,0,normal_area,False,2025-08-27T02:20:32.333323
USER_001,231.31,restaurant,10,2,normal_area,False,2025-08-27T02:20:32.333330
USER_001,166.58,gas,8,2,normal_area,False,2025-08-27T02:20:32.333336
USER_001,1703.29,cash_advance,23,5,suspicious_area,True,2025-08-27T02:20:32.333347
USER_001,178.83,retail,21,3,normal_area,False,2025-08-27T02:20:32.333352
USER_001,259.68,restaurant,11,2,normal_area,False,2025-08-27T02:20:32.333356
USER_001,164.02,grocery,10,3,normal_area,False,2025-08-27T02:20:32.333361
USER_001,182.1,retail,12,2,normal_area,False,2025-08-27T02:20:32.333365
USER_001,250.41,gas,16,0,normal_area,False,2025-08-27T02:20:32.333371
USER_001,218.0,restaurant,16,4,normal_area,False,2025-08-27T02:20:32.333375
USER_001,162.23,grocery,7,4,normal_area,False,2025-08-27T02:20:32.333380
USER_001,121.15,gas,12,2,normal_area,False,2025-08-27T02:20:32.333384
USER_001,209.96,restaurant,14,2,normal_area,False,2025-08-27T02:20:32.333388
USER_001,312.88,grocery,8,3,normal_area,False,2025-08-27T02:20:32.333393
USER_001,181.13,grocery,21,0,normal_area,False,2025-08-27T02:20:32.333397
USER_001,146.85,retail,21,4,normal_area,False,2025-08-27T02:20:32.333401
USER_001,2619.7,travel,3,5,suspicious_area,True,2025-08-27T02:20:32.333406
USER_001,225.75,grocery,16,3,normal_area,False,2025-08-27T02:20:32.333411
USER_001,267.77,retail,12,1,normal_area,False,2025-08-27T02:20:32.333415
USER_001,204.05,gas,9,4,normal_area,False,2025-08-27T02:20:32.333420
USER_001,252.48,gas,12,2,normal_area,False,2025-08-27T02:20:32.333424
